solomon_100\C101,51,260,259,448.3142857,10.066
solomon_100\C101,61,307,306,580.1857143,16.449
solomon_100\C101,71,382,381,729.6577381,24.796
solomon_100\C101,81,415,414,808.0714286,35.079
solomon_100\C101,91,473,472,915.8714286,52.578
solomon_100\C101,101,510,509,1044.9,63.783
solomon_100\C121,111,686,685,2028.053866,97.755
solomon_100\C121,121,773,772,2193.868407,131.585
solomon_100\C121,131,895,894,2359.771429,176.55
solomon_100\C121,141,943,942,2528.88,210.632
solomon_100\C121,151,980,979,2694.674286,255.936
solomon_100\R101,51,294,293,648.6642857,10.296
solomon_100\R101,61,350,349,733.2233954,14.548
solomon_100\R101,71,407,406,873.2104658,22.489
solomon_100\R101,81,494,493,953.710119,33.697
solomon_100\R101,91,554,553,1040.629167,47.27
solomon_100\R101,101,678,677,1102.39724,65.891
solomon_100\R121,111,759,758,2374.198362,89.462
solomon_100\R121,121,843,842,2535.444296,112.128
solomon_100\R121,131,943,942,2713.545618,148.599
solomon_100\R121,141,978,977,2868.915348,172.063
solomon_100\R121,151,1073,1072,3029.826883,213.366
solomon_100\RC101,51,276,275,698.4428571,12.839
solomon_100\RC101,61,335,334,857.8571429,16.925
solomon_100\RC101,71,400,399,974.4230769,23.377
solomon_100\RC101,81,497,496,1127.888095,35.184
solomon_100\RC101,91,561,560,1229.802619,49.829
solomon_100\RC101,101,607,606,1306.191503,60.636
solomon_100\RC121,111,717,716,2263.63131,88.265
solomon_100\RC121,121,795,794,2499.845714,112.723
solomon_100\RC121,131,900,899,2720.555238,145.85
solomon_100\RC121,141,966,965,2837.038571,180.661
solomon_100\RC121,151,1062,1061,3020.966494,226.219
,,,,,
solomon_100\C101,51,262,261,448.3142857,7.688
solomon_100\C101,61,310,309,580.1857143,12.421
solomon_100\C101,71,375,374,729.6577381,19.342
solomon_100\C101,81,417,416,808.0714286,28.11
solomon_100\C101,91,479,478,915.8714286,42.64
solomon_100\C101,101,542,541,1044.9,53.903
solomon_100\C121,111,667,666,2028.053866,78.305
solomon_100\C121,121,752,751,2193.868407,103.801
solomon_100\C121,131,833,832,2359.771429,137.407
solomon_100\C121,141,928,927,2528.88,175.693
solomon_100\C121,151,970,969,2694.674286,213.125
solomon_100\R101,51,301,300,648.6642857,7.952
solomon_100\R101,61,336,335,733.2233954,10.938
solomon_100\R101,71,409,408,873.2104658,17.672
solomon_100\R101,81,494,493,953.710119,26.609
solomon_100\R101,91,577,576,1040.629167,39.578
solomon_100\R101,101,637,636,1102.39724,51.249
solomon_100\R121,111,757,756,2374.198362,76.579
solomon_100\R121,121,863,862,2535.444296,100.218
solomon_100\R121,131,952,951,2713.545618,129.328
solomon_100\R121,141,951,950,2868.915348,147.063
solomon_100\R121,151,1084,1083,3029.826883,192.729
solomon_100\RC101,51,250,249,698.4428571,8.609
solomon_100\RC101,61,330,329,857.8571429,12.203
solomon_100\RC101,71,405,404,974.4230769,18.08
solomon_100\RC101,81,480,479,1127.888095,26.436
solomon_100\RC101,91,567,566,1229.802619,40.418
solomon_100\RC101,101,616,615,1306.191503,50.958
solomon_100\RC121,111,713,712,2263.63131,73.881
solomon_100\RC121,121,802,801,2499.845714,97.553
solomon_100\RC121,131,907,906,2720.555238,127.87
solomon_100\RC121,141,932,931,2837.038571,155.829
solomon_100\RC121,151,1024,1023,3020.966494,193.296
,,,,,
solomon_100\C101,51,68,1819,448.3142857,219.077
solomon_100\C101,61,78,2331,580.1857143,392.81
solomon_100\C101,71,102,2793,729.6577381,742.718
solomon_100\C101,81,103,3091,808.1214286,927.814
solomon_100\C101,91,104,3522,916.7809524,938.132
solomon_100\C101,101,106,3761,1051.230476,920.111
solomon_100\C121,111,114,4290,2042.29941,967.907
solomon_100\C121,121,127,4618,2212.468685,973.461
solomon_100\C121,131,130,4928,2389.02747,990.526
solomon_100\C121,141,138,5231,2570.188847,955.906
solomon_100\C121,151,139,5114,2765.136598,950.031
solomon_100\R101,51,67,1788,648.6642857,78.532
solomon_100\R101,61,82,2255,733.2233954,183.791
solomon_100\R101,71,92,2754,873.2104658,323.986
solomon_100\R101,81,100,3084,953.710119,562.525
solomon_100\R101,91,113,3418,1040.64612,921.161
solomon_100\R101,101,114,3894,1103.002846,906.63
