RC-n20-k6-L8

CUSTOMER NUMBER
20

VEHICLE NUMBER
6

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 18, 19

Vehicle 1
18, 3, 19, 6, 8, 9, 12, 14, 15

Vehicle 2
16, 2, 18, 4, 6, 9, 14

Vehicle 3
16, 1, 17, 5, 6, 8, 9, 10, 11, 12

Vehicle 4
16, 1, 2, 3, 19, 5, 8, 9, 10, 11, 12, 13

Vehicle 5
1, 17, 2, 18, 9, 12, 15


DISTANCE MATRIX
0.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0, 39.0, 41.0, 40.0, 45.0, 40.0
38.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0, 50.0, 51.0, 47.0, 82.0, 76.0
30.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0, 40.0, 41.0, 37.0, 73.0, 68.0
39.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0, 49.0, 50.0, 45.0, 82.0, 77.0
36.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0, 43.0, 44.0, 40.0, 78.0, 73.0
40.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0, 48.0, 49.0, 44.0, 83.0, 78.0
33.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0, 38.0, 39.0, 34.0, 74.0, 69.0
35.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0, 37.0, 38.0, 33.0, 75.0, 70.0
39.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0, 42.0, 42.0, 38.0, 80.0, 75.0
33.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0, 9.0, 11.0, 14.0, 45.0, 40.0
31.0, 47.0, 37.0, 46.0, 41.0, 46.0, 35.0, 35.0, 40.0, 5.0, 0.0, 2.0, 5.0, 7.0, 7.0, 8.0, 10.0, 11.0, 48.0, 43.0
33.0, 48.0, 37.0, 47.0, 41.0, 46.0, 36.0, 35.0, 40.0, 5.0, 2.0, 0.0, 5.0, 5.0, 5.0, 6.0, 8.0, 9.0, 50.0, 45.0
32.0, 43.0, 33.0, 42.0, 37.0, 41.0, 31.0, 30.0, 35.0, 10.0, 5.0, 5.0, 0.0, 10.0, 3.0, 7.0, 9.0, 8.0, 53.0, 48.0
38.0, 53.0, 43.0, 52.0, 47.0, 52.0, 42.0, 41.0, 46.0, 5.0, 7.0, 5.0, 10.0, 0.0, 10.0, 5.0, 7.0, 11.0, 49.0, 44.0
35.0, 44.0, 34.0, 43.0, 38.0, 42.0, 32.0, 31.0, 36.0, 11.0, 7.0, 5.0, 3.0, 10.0, 0.0, 5.0, 7.0, 5.0, 55.0, 50.0
39.0, 50.0, 40.0, 49.0, 43.0, 48.0, 38.0, 37.0, 42.0, 9.0, 8.0, 6.0, 7.0, 5.0, 5.0, 0.0, 2.0, 5.0, 54.0, 50.0
41.0, 51.0, 41.0, 50.0, 44.0, 49.0, 39.0, 38.0, 42.0, 11.0, 10.0, 8.0, 9.0, 7.0, 7.0, 2.0, 0.0, 5.0, 56.0, 51.0
40.0, 47.0, 37.0, 45.0, 40.0, 44.0, 34.0, 33.0, 38.0, 14.0, 11.0, 9.0, 8.0, 11.0, 5.0, 5.0, 5.0, 0.0, 59.0, 54.0
45.0, 82.0, 73.0, 82.0, 78.0, 83.0, 74.0, 75.0, 80.0, 45.0, 48.0, 50.0, 53.0, 49.0, 55.0, 54.0, 56.0, 59.0, 0.0, 5.0
40.0, 76.0, 68.0, 77.0, 73.0, 78.0, 69.0, 70.0, 75.0, 40.0, 43.0, 45.0, 48.0, 44.0, 50.0, 50.0, 51.0, 54.0, 5.0, 0.0
