R-n25-k8-L8

CUSTOMER NUMBER
25

VEHICLE NUMBER
8

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
17, 3, 20, 6, 7, 9, 11, 13, 14, 15

Vehicle 1
16, 17, 3, 19, 5, 23, 24, 10, 11, 12, 15

Vehicle 2
2, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 21, 22, 23

Vehicle 3
16, 4, 20, 5, 21, 6, 23, 24, 10, 11, 14, 15

Vehicle 4
16, 1, 3, 19, 20, 5, 23, 8

Vehicle 5
1, 18, 3, 4, 6, 22, 24, 9, 10, 13, 14

Vehicle 6
2, 4, 5, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19, 21

Vehicle 7
2, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24


DISTANCE MATRIX
0.0, 15.0, 18.0, 22.0, 25.0, 20.0, 11.0, 21.0, 26.0, 32.0, 25.0, 33.0, 15.0, 11.0, 32.0, 30.0, 29.0, 30.0, 15.0, 32.0, 31.0, 18.0, 26.0, 36.0, 30.0
15.0, 0.0, 32.0, 14.0, 32.0, 32.0, 24.0, 21.0, 31.0, 17.0, 15.0, 26.0, 16.0, 26.0, 46.0, 45.0, 42.0, 40.0, 22.0, 28.0, 16.0, 29.0, 39.0, 46.0, 27.0
18.0, 32.0, 0.0, 34.0, 20.0, 23.0, 16.0, 36.0, 36.0, 47.0, 43.0, 50.0, 23.0, 9.0, 21.0, 13.0, 25.0, 32.0, 27.0, 47.0, 49.0, 10.0, 12.0, 23.0, 34.0
22.0, 14.0, 34.0, 0.0, 25.0, 42.0, 33.0, 35.0, 45.0, 15.0, 29.0, 40.0, 11.0, 32.0, 53.0, 47.0, 51.0, 52.0, 35.0, 42.0, 22.0, 26.0, 36.0, 40.0, 14.0
25.0, 32.0, 20.0, 25.0, 0.0, 41.0, 31.0, 46.0, 50.0, 40.0, 47.0, 57.0, 15.0, 25.0, 41.0, 29.0, 45.0, 50.0, 40.0, 56.0, 46.0, 10.0, 14.0, 15.0, 18.0
20.0, 32.0, 23.0, 42.0, 41.0, 0.0, 10.0, 20.0, 13.0, 50.0, 33.0, 35.0, 35.0, 15.0, 20.0, 29.0, 11.0, 10.0, 11.0, 30.0, 46.0, 31.0, 36.0, 47.0, 50.0
11.0, 24.0, 16.0, 33.0, 31.0, 10.0, 0.0, 20.0, 19.0, 42.0, 30.0, 35.0, 25.0, 7.0, 22.0, 25.0, 18.0, 20.0, 11.0, 31.0, 40.0, 22.0, 28.0, 39.0, 40.0
21.0, 21.0, 36.0, 35.0, 46.0, 20.0, 20.0, 0.0, 12.0, 36.0, 14.0, 15.0, 33.0, 26.0, 40.0, 46.0, 31.0, 25.0, 10.0, 11.0, 29.0, 39.0, 47.0, 57.0, 47.0
26.0, 31.0, 36.0, 45.0, 50.0, 13.0, 19.0, 12.0, 0.0, 48.0, 26.0, 24.0, 40.0, 26.0, 33.0, 42.0, 23.0, 13.0, 10.0, 17.0, 41.0, 41.0, 48.0, 58.0, 55.0
32.0, 17.0, 47.0, 15.0, 40.0, 50.0, 42.0, 36.0, 48.0, 0.0, 25.0, 35.0, 25.0, 43.0, 64.0, 60.0, 60.0, 58.0, 40.0, 40.0, 11.0, 41.0, 50.0, 55.0, 26.0
25.0, 15.0, 43.0, 29.0, 47.0, 33.0, 30.0, 14.0, 26.0, 25.0, 0.0, 11.0, 32.0, 35.0, 52.0, 55.0, 44.0, 39.0, 22.0, 15.0, 15.0, 42.0, 52.0, 60.0, 43.0
33.0, 26.0, 50.0, 40.0, 57.0, 35.0, 35.0, 15.0, 24.0, 35.0, 11.0, 0.0, 42.0, 41.0, 55.0, 60.0, 46.0, 38.0, 25.0, 7.0, 25.0, 51.0, 60.0, 69.0, 54.0
15.0, 16.0, 23.0, 11.0, 15.0, 35.0, 25.0, 33.0, 40.0, 25.0, 32.0, 42.0, 0.0, 22.0, 43.0, 36.0, 42.0, 45.0, 30.0, 43.0, 30.0, 15.0, 25.0, 30.0, 15.0
