C-n30-k8-L8

CUSTOMER NUMBER
30

VEHICLE NUMBER
8

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
1, 2, 3, 11, 16, 17, 18, 19, 20, 21, 27, 28, 29

Vehicle 1
1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 17, 18, 20, 21, 23, 24, 25, 26, 28

Vehicle 2
2, 3, 9, 11, 12, 13, 14, 15, 17, 21, 22, 23, 25, 26, 27, 28

Vehicle 3
16, 17, 4, 20, 5, 21, 22, 7, 8, 12, 13

Vehicle 4
2, 3, 5, 6, 7, 9, 11, 12, 16, 20, 22, 23, 27, 28

Vehicle 5
1, 3, 4, 5, 8, 9, 13, 19, 20, 22, 23, 25, 26, 28, 29

Vehicle 6
2, 5, 9, 11, 14, 15, 16, 17, 22, 23, 24, 25, 28

Vehicle 7
1, 4, 6, 9, 10, 11, 13, 14, 15, 16, 17, 20, 21, 24, 25, 27, 28


DISTANCE MATRIX
0.0, 18.0, 20.0, 16.0, 18.0, 15.0, 19.0, 16.0, 18.0, 20.0, 16.0, 19.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 10.0, 10.0, 12.0, 13.0, 15.0, 15.0, 15.0, 17.0, 17.0, 20.0
18.0, 0.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, 7.0, 7.0, 10.0, 10.0, 26.0, 24.0, 28.0, 27.0, 30.0, 27.0, 30.0, 32.0, 23.0, 21.0, 23.0, 21.0, 26.0, 25.0, 23.0, 27.0, 25.0, 30.0
20.0, 2.0, 0.0, 5.0, 3.0, 5.0, 5.0, 6.0, 7.0, 7.0, 10.0, 10.0, 25.0, 23.0, 27.0, 26.0, 29.0, 27.0, 30.0, 31.0, 25.0, 23.0, 24.0, 22.0, 28.0, 26.0, 25.0, 28.0, 26.0, 32.0
16.0, 3.0, 5.0, 0.0, 2.0, 1.0, 3.0, 2.0, 4.0, 5.0, 7.0, 7.0, 25.0, 21.0, 27.0, 26.0, 29.0, 25.0, 28.0, 30.0, 20.0, 18.0, 19.0, 17.0, 23.0, 22.0, 20.0, 23.0, 21.0, 27.0
18.0, 3.0, 3.0, 2.0, 0.0, 3.0, 2.0, 2.0, 4.0, 4.0, 7.0, 7.0, 24.0, 21.0, 26.0, 25.0, 27.0, 25.0, 27.0, 29.0, 21.0, 20.0, 21.0, 19.0, 24.0, 23.0, 21.0, 24.0, 23.0, 28.0
15.0, 4.0, 5.0, 1.0, 3.0, 0.0, 4.0, 2.0, 5.0, 6.0, 7.0, 8.0, 26.0, 22.0, 28.0, 26.0, 29.0, 26.0, 28.0, 30.0, 19.0, 17.0, 19.0, 17.0, 22.0, 21.0, 19.0, 23.0, 21.0, 26.0
19.0, 5.0, 5.0, 3.0, 2.0, 4.0, 0.0, 3.0, 2.0, 2.0, 5.0, 5.0, 21.0, 18.0, 24.0, 22.0, 25.0, 22.0, 25.0, 27.0, 21.0, 19.0, 20.0, 18.0, 24.0, 22.0, 20.0, 24.0, 22.0, 27.0
16.0, 5.0, 6.0, 2.0, 2.0, 2.0, 3.0, 0.0, 2.0, 4.0, 5.0, 5.0, 24.0, 20.0, 26.0, 24.0, 27.0, 23.0, 26.0, 28.0, 18.0, 17.0, 18.0, 16.0, 21.0, 20.0, 18.0, 22.0, 20.0, 25.0
18.0, 7.0, 7.0, 4.0, 4.0, 5.0, 2.0, 2.0, 0.0, 2.0, 3.0, 3.0, 21.0, 17.0, 23.0, 21.0, 24.0, 21.0, 24.0, 25.0, 19.0, 17.0, 18.0, 16.0, 22.0, 20.0, 18.0, 21.0, 19.0, 25.0
20.0, 7.0, 7.0, 5.0, 4.0, 6.0, 2.0, 4.0, 2.0, 0.0, 5.0, 3.0, 19.0, 16.0, 21.0, 20.0, 23.0, 20.0, 23.0, 25.0, 21.0, 19.0, 20.0, 18.0, 23.0, 22.0, 19.0, 23.0, 21.0, 26.0
16.0, 10.0, 10.0, 7.0, 7.0, 7.0, 5.0, 5.0, 3.0, 5.0, 0.0, 3.0, 21.0, 15.0, 23.0, 20.0, 24.0, 19.0, 21.0, 24.0, 16.0, 14.0, 15.0, 13.0, 18.0, 17.0, 14.0, 18.0, 16.0, 21.0
19.0, 10.0, 10.0, 7.0, 7.0, 8.0, 5.0, 5.0, 3.0, 3.0, 3.0, 0.0, 18.0, 14.0, 20.0, 18.0, 21.0, 18.0, 20.0, 22.0, 19.0, 17.0, 18.0, 15.0, 21.0, 19.0, 17.0, 20.0, 18.0, 24.0
38.0, 26.0, 25.0, 25.0, 24.0, 26.0, 21.0, 24.0, 21.0, 19.0, 21.0, 18.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 35.0, 33.0, 33.0, 30.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0
30.0, 24.0, 23.0, 21.0, 21.0, 22.0, 18.0, 20.0, 17.0, 16.0, 15.0, 14.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 26.0, 24.0, 23.0, 20.0, 25.0, 23.0, 20.0, 23.0, 20.0, 25.0
39.0, 28.0, 27.0, 27.0, 26.0, 28.0, 24.0, 26.0, 23.0, 21.0, 23.0, 20.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 35.0, 33.0, 33.0, 30.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0
36.0, 27.0, 26.0, 26.0, 25.0, 26.0, 22.0, 24.0, 21.0, 20.0, 20.0, 18.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 31.0, 29.0, 29.0, 26.0, 30.0, 28.0, 25.0, 28.0, 25.0, 30.0
40.0, 30.0, 29.0, 29.0, 27.0, 29.0, 25.0, 27.0, 24.0, 23.0, 24.0, 21.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 36.0, 34.0, 33.0, 31.0, 35.0, 33.0, 30.0, 33.0, 30.0, 35.0
33.0, 27.0, 27.0, 25.0, 25.0, 26.0, 22.0, 23.0, 21.0, 20.0, 19.0, 18.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 27.0, 25.0, 25.0, 22.0, 25.0, 24.0, 21.0, 23.0, 20.0, 25.0
