RC-n15-k4-L8

CUSTOMER NUMBER
15

VEHICLE NUMBER
4

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
2, 3, 4, 6, 9, 11, 12

Vehicle 1
2, 4, 6, 7, 11, 13

Vehicle 2
2, 4, 6, 7, 8, 12

Vehicle 3
1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14


DISTANCE MATRIX
0.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0
38.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0
30.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0
39.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0
36.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0
40.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0
33.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0
35.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0
39.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0
33.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0
31.0, 47.0, 37.0, 46.0, 41.0, 46.0, 35.0, 35.0, 40.0, 5.0, 0.0, 2.0, 5.0, 7.0, 7.0
33.0, 48.0, 37.0, 47.0, 41.0, 46.0, 36.0, 35.0, 40.0, 5.0, 2.0, 0.0, 5.0, 5.0, 5.0
32.0, 43.0, 33.0, 42.0, 37.0, 41.0, 31.0, 30.0, 35.0, 10.0, 5.0, 5.0, 0.0, 10.0, 3.0
38.0, 53.0, 43.0, 52.0, 47.0, 52.0, 42.0, 41.0, 46.0, 5.0, 7.0, 5.0, 10.0, 0.0, 10.0
35.0, 44.0, 34.0, 43.0, 38.0, 42.0, 32.0, 31.0, 36.0, 11.0, 7.0, 5.0, 3.0, 10.0, 0.0
