RC-n25-k8-L8

CUSTOMER NUMBER
25

VEHICLE NUMBER
8

LIMIT
8

COMPATIBILITY SETS
Vehicle 0
1, 2, 3, 4, 6, 22, 7, 8, 9, 10, 12, 14

Vehicle 1
1, 19, 22, 7, 8, 10, 11, 12, 13, 15

Vehicle 2
16, 17, 3, 5, 21, 22, 7, 24, 10, 11, 13, 15

Vehicle 3
1, 18, 3, 19, 4, 5, 6, 23, 10, 13, 15

Vehicle 4
17, 18, 3, 19, 21, 22, 7, 23, 8, 24, 13

Vehicle 5
1, 2, 3, 6, 7, 9, 13, 15, 16, 20, 21, 22, 23

Vehicle 6
16, 17, 3, 4, 22, 7, 24, 9

Vehicle 7
1, 4, 7, 8, 10, 11, 12, 13, 14, 15, 19, 21, 23


DISTANCE MATRIX
0.0, 38.0, 30.0, 39.0, 36.0, 40.0, 33.0, 35.0, 39.0, 33.0, 31.0, 33.0, 32.0, 38.0, 35.0, 39.0, 41.0, 40.0, 45.0, 40.0, 35.0, 45.0, 35.0, 45.0, 35.0
38.0, 0.0, 10.0, 3.0, 7.0, 5.0, 12.0, 14.0, 11.0, 52.0, 47.0, 48.0, 43.0, 53.0, 44.0, 50.0, 51.0, 47.0, 82.0, 76.0, 72.0, 81.0, 71.0, 81.0, 71.0
30.0, 10.0, 0.0, 10.0, 5.0, 10.0, 4.0, 7.0, 8.0, 41.0, 37.0, 37.0, 33.0, 43.0, 34.0, 40.0, 41.0, 37.0, 73.0, 68.0, 63.0, 72.0, 62.0, 71.0, 62.0
39.0, 3.0, 10.0, 0.0, 5.0, 2.0, 10.0, 12.0, 8.0, 51.0, 46.0, 47.0, 42.0, 52.0, 43.0, 49.0, 50.0, 45.0, 82.0, 77.0, 72.0, 82.0, 72.0, 81.0, 71.0
36.0, 7.0, 5.0, 5.0, 0.0, 5.0, 5.0, 7.0, 5.0, 46.0, 41.0, 41.0, 37.0, 47.0, 38.0, 43.0, 44.0, 40.0, 78.0, 73.0, 68.0, 77.0, 68.0, 77.0, 67.0
40.0, 5.0, 10.0, 2.0, 5.0, 0.0, 10.0, 11.0, 7.0, 50.0, 46.0, 46.0, 41.0, 52.0, 42.0, 48.0, 49.0, 44.0, 83.0, 78.0, 73.0, 82.0, 72.0, 82.0, 72.0
33.0, 12.0, 4.0, 10.0, 5.0, 10.0, 0.0, 3.0, 5.0, 40.0, 35.0, 36.0, 31.0, 42.0, 32.0, 38.0, 39.0, 34.0, 74.0, 69.0, 64.0, 73.0, 63.0, 72.0, 63.0
35.0, 14.0, 7.0, 12.0, 7.0, 11.0, 3.0, 0.0, 5.0, 40.0, 35.0, 35.0, 30.0, 41.0, 31.0, 37.0, 38.0, 33.0, 75.0, 70.0, 65.0, 74.0, 65.0, 73.0, 64.0
39.0, 11.0, 8.0, 8.0, 5.0, 7.0, 5.0, 5.0, 0.0, 45.0, 40.0, 40.0, 35.0, 46.0, 36.0, 42.0, 42.0, 38.0, 80.0, 75.0, 70.0, 79.0, 69.0, 78.0, 68.0
33.0, 52.0, 41.0, 51.0, 46.0, 50.0, 40.0, 40.0, 45.0, 0.0, 5.0, 5.0, 10.0, 5.0, 11.0, 9.0, 11.0, 14.0, 45.0, 40.0, 37.0, 42.0, 36.0, 41.0, 34.0
