solomon_100\C101,101,401,400,1363.4862499999997,25.109,
solomon_100\C101,51,205,204,578.3229166666667,5.361,
solomon_100\C101,61,237,236,753.48625,7.56,
solomon_100\C101,71,290,289,921.2062499999998,10.83,
solomon_100\C101,81,324,323,1053.7662499999997,15.097,
solomon_100\C101,91,340,339,1195.0662500000003,18.888,
solomon_100\C121,111,508,507,2640.045,35.183,
solomon_100\C121,121,576,575,2880.0350000000008,45.836,
solomon_100\C121,131,610,609,3129.8327777777786,55.702,
solomon_100\C121,141,665,664,3356.865,66.753,
solomon_100\C121,151,705,704,3593.191666666667,79.439,
solomon_100\R101,101,483,482,1373.7051282051286,30.562,
solomon_100\R101,51,221,220,793.6200000000001,5.719,
solomon_100\R101,61,259,258,892.589814814815,8.054,
solomon_100\R101,71,309,308,1067.3075000000001,11.463,
solomon_100\R101,81,377,376,1178.4754609929075,17.027,
solomon_100\R101,91,420,419,1290.783361344538,22.487,
solomon_100\R121,111,572,571,2972.772740740742,38.439,
solomon_100\R121,121,618,617,3191.527268518518,47.895,
solomon_100\R121,131,675,674,3450.638750000001,59.414,
solomon_100\R121,141,744,743,3661.8079166666666,73.845,
solomon_100\R121,151,794,793,3882.234443099273,87.919,
solomon_100\RC101,101,482,481,1669.533469387755,29.749,
solomon_100\RC101,51,205,204,922.5,5.193,
solomon_100\RC101,61,255,254,1122.4900000000002,7.979,
solomon_100\RC101,71,294,293,1248.935,10.968,
solomon_100\RC101,81,396,395,1440.6,17.952,
solomon_100\RC101,91,432,431,1566.84,23.407,
solomon_100\RC121,111,535,534,2910.510555555555,36.049,
solomon_100\RC121,121,629,628,3219.572631578948,48.979,
solomon_100\RC121,131,653,652,3496.3693197278917,57.773,
solomon_100\RC121,141,700,699,3669.4126984127,69.969,
solomon_100\RC121,151,774,773,3911.8735606060623,85.965,
