solomon_100\C101.txt,609,608,1074.1799999999998,40.391,
solomon_100\C101.txt,301,300,453.48690476190484,4.768,
solomon_100\C101.txt,349,348,588.9178571428572,6.893,
solomon_100\C101.txt,398,397,729.6577380952378,17.426,
solomon_100\C101.txt,464,463,813.1885714285712,22.526,
solomon_100\C101.txt,553,552,924.0079365079362,34.115,
solomon_100\R101.txt,683,682,1102.3972402597403,62.803,
solomon_100\R101.txt,299,298,648.6642857142857,2.182,
solomon_100\R101.txt,370,369,733.2233954451345,4.236,
solomon_100\R101.txt,422,421,873.2104657756172,7.431,
solomon_100\R101.txt,495,494,953.7613095238095,14.998,
solomon_100\R101.txt,577,576,1040.6291666666666,29.511,
solomon_100\RC101.txt,625,624,1306.1915027088683,123.851,
solomon_100\RC101.txt,253,252,698.4428571428571,8.734,
solomon_100\RC101.txt,310,309,857.857142857143,22.02,
solomon_100\RC101.txt,430,429,974.4230769230772,63.901,
solomon_100\RC101.txt,507,506,1127.8880952380953,89.446,
solomon_100\RC101.txt,559,558,1229.8026190476191,111.58,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,
