solomon_100\C101,101,400,399,1363.48625,18.42,
solomon_100\C101,51,203,202,578.3229166666667,3.531,
solomon_100\C101,61,236,235,753.4862499999999,5.156,
solomon_100\C101,71,288,287,921.20625,7.937,
solomon_100\C101,81,323,322,1053.7662499999997,10.515,
solomon_100\C101,91,352,351,1195.0662500000003,13.843,
solomon_100\C121,111,527,526,2640.0449999999996,28.549,
solomon_100\C121,121,563,562,2880.0350000000003,35.426,
solomon_100\C121,131,601,600,3129.8327777777786,43.496,
solomon_100\C121,141,669,668,3356.8650000000007,55.676,
solomon_100\C121,151,709,708,3593.191666666667,66.807,
solomon_100\R101,101,472,471,1373.7051282051286,22.286,
solomon_100\R101,51,219,218,793.62,3.812,
solomon_100\R101,61,265,264,892.5898148148146,5.875,
solomon_100\R101,71,309,308,1067.3075000000001,8.547,
solomon_100\R101,81,369,368,1178.4754609929075,12.312,
solomon_100\R101,91,411,410,1290.783361344538,16.59,
solomon_100\R121,111,559,558,2972.7727407407415,30.343,
solomon_100\R121,121,627,626,3191.5272685185187,39.328,
solomon_100\R121,131,663,662,3450.6387499999996,47.803,
solomon_100\R121,141,724,723,3661.8079166666657,59.759,
solomon_100\R121,151,794,793,3882.2344430992734,75.062,
solomon_100\RC101,101,480,479,1669.533469387755,22.316,
solomon_100\RC101,51,198,197,922.5,3.407,
solomon_100\RC101,61,249,248,1122.4900000000005,5.453,
solomon_100\RC101,71,303,302,1248.9350000000002,8.167,
solomon_100\RC101,81,404,403,1440.6000000000001,13.178,
solomon_100\RC101,91,432,431,1566.8399999999997,17.042,
solomon_100\RC121,111,538,537,2910.510555555554,29.44,
solomon_100\RC121,121,621,620,3219.5726315789484,38.999,
solomon_100\RC121,131,649,648,3496.3693197278917,46.854,
solomon_100\RC121,141,714,713,3669.4126984127006,59.239,
solomon_100\RC121,151,774,773,3911.873560606061,73.254,
