solomon_100\C101.txt,417,416,1363.4862499999997,58.896,
solomon_100\C101.txt,192,191,578.3229166666667,6.645,
solomon_100\C101.txt,247,246,753.48625,12.881,
solomon_100\C101.txt,296,295,921.20625,20.275,
solomon_100\C101.txt,324,323,1053.7662499999994,29.408,
solomon_100\C101.txt,368,367,1195.0662499999999,42.68,
solomon_100\R101.txt,502,501,1373.7051282051286,66.282,
solomon_100\R101.txt,234,233,793.6199999999999,4.305,
solomon_100\R101.txt,277,276,892.5898148148146,7.15,
solomon_100\R101.txt,327,326,1067.3075000000001,11.577,
solomon_100\R101.txt,385,384,1178.4754609929082,20.596,
solomon_100\R101.txt,442,441,1290.7833613445373,36.011,
solomon_100\R500.txt,1,0,0.0,0.032,
solomon_100\R500.txt,1,0,0.0,0.042,
solomon_100\R500.txt,1,0,0.0,0.036,
solomon_100\R500.txt,1,0,0.0,0.038,
solomon_100\RC101.txt,491,490,1669.5334693877553,86.366,
solomon_100\RC101.txt,202,201,922.5,10.248,
solomon_100\RC101.txt,281,280,1122.49,22.869,
solomon_100\RC101.txt,313,312,1248.9350000000002,33.776,
solomon_100\RC101.txt,375,374,1440.6000000000001,49.097,
solomon_100\RC101.txt,449,448,1566.84,67.361,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R500.txt,solomon_100\R500.txt,solomon_100\R500.txt,solomon_100\R500.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,
solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\C101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\R101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\RC101.txt,solomon_100\C101.txt,solomon_100\C101.txt,
