solomon_100\C101,101,337,336,1643.4437499999995,1771.7999999999997,13.066,
solomon_100\C101,51,160,159,694.3062500000001,779.0,2.926,
solomon_100\C101,61,196,195,902.4562500000002,961.5999999999999,3.94,
solomon_100\C101,71,236,235,1088.3062499999999,1168.3,5.615,
solomon_100\C101,81,267,266,1266.5687500000001,1319.7000000000003,7.534,
solomon_100\C101,91,304,303,1437.8187499999997,1555.3999999999999,10.134,
solomon_100\C121,111,423,422,3211.316666666666,3405.8,20.495,
solomon_100\C121,121,447,446,3501.8000000000006,3781.1,23.751,
solomon_100\C121,131,477,476,3798.7749999999996,4123.3,28.81,
solomon_100\C121,141,543,542,4096.783333333334,4438.9,37.486,
solomon_100\C121,151,568,567,4398.633333333334,4714.0,44.905,
solomon_100\C121,161,622,621,4677.508333333332,4953.799999999999,118.774,
solomon_100\C121,171,688,687,4982.6291666666675,5220.3,141.786,
solomon_100\C121,181,735,734,5267.287500000001,5585.6,172.77,
solomon_100\C121,191,749,748,5644.783333333329,5941.799999999999,187.7,
solomon_100\C121,201,814,813,5971.97916666667,6336.599999999999,342.537,
solomon_100\C161,201,814,813,11201.627777777778,11854.3,112.909,
solomon_100\C161,251,1037,1036,13706.125000000002,14469.000000000002,222.098,
solomon_100\C161,301,1251,1250,16431.13333333334,17292.0,386.292,
solomon_100\C161,351,1451,1450,18858.479166666668,608.189,
solomon_100\C161,401,1670,1669,21574.27500000001,900.278,
solomon_100\C161,451,1320,1319,24848.536124117814,900.368,
solomon_100\C161,501,1054,1053,28922.66553884058,900.578,
solomon_100\R101,101,405,404,1612.5833333333335,1660.4999999999998,16.032,
solomon_100\R101,51,172,171,916.8125000000001,937.0,2.688,
solomon_100\R101,61,222,221,1029.7900000000002,1066.0,4.363,
solomon_100\R101,71,266,265,1235.64,1259.3999999999999,6.386,
solomon_100\R101,81,300,299,1375.3433333333332,1420.8000000000002,8.596,
solomon_100\R101,91,348,347,1510.5895833333332,1565.6,11.788,
solomon_100\R121,111,457,456,3507.9999999999995,3582.5,21.786,
solomon_100\R121,121,496,495,3775.6000000000004,3910.0999999999995,26.965,
solomon_100\R121,131,552,551,4107.1833333333325,4301.000000000001,34.142,
solomon_100\R121,141,559,558,4364.254954954953,4503.6,38.992,
solomon_100\R121,151,631,630,4624.602777777776,4804.4,50.173,
solomon_100\R121,161,686,685,4895.655833333332,5054.5,118.753,
solomon_100\R121,171,703,702,5223.083333333333,5353.4,132.181,
solomon_100\R121,181,787,786,5538.385185185185,5669.599999999999,165.401,
solomon_100\R121,191,831,830,5869.21851851852,6113.5,232.969,
solomon_100\R121,201,862,861,6175.662499999999,6317.099999999999,251.063,
solomon_100\R161,201,846,845,12484.120833333329,115.727,
solomon_100\R161,251,1091,1090,15257.692129629628,235.095,
solomon_100\R161,301,1347,1346,18099.942281746033,421.64,
solomon_100\R161,351,1618,1617,21093.321238095246,684.892,
solomon_100\R161,401,1636,1635,24114.632746642197,900.421,
solomon_100\R161,451,1300,1299,27526.799505831987,900.725,
solomon_100\R161,501,1016,1015,32143.443920797956,900.386,
solomon_100\RC101,101,365,364,1994.127777777778,2094.3,14.289,
solomon_100\RC101,51,166,165,1124.1500000000003,1304.9,2.857,
solomon_100\RC101,61,220,219,1349.7208333333333,1452.5,4.702,
solomon_100\RC101,71,253,252,1488.2700000000002,1581.0000000000002,6.538,
solomon_100\RC101,81,298,297,1717.4375,1827.7,9.228,
solomon_100\RC101,91,337,336,1871.5249999999996,2018.8000000000002,11.312,
solomon_100\RC121,111,453,452,3459.841666666666,3614.300000000001,21.312,
solomon_100\RC121,121,474,473,3832.7700000000004,3999.1,25.71,
solomon_100\RC121,131,520,519,4174.07023809524,4334.099999999999,32.084,
solomon_100\RC121,141,572,571,4396.249999999998,4476.400000000001,39.976,
solomon_100\RC121,151,623,622,4685.0875,4866.0,49.448,
solomon_100\RC121,161,705,704,4961.325000000001,5103.5,146.435,
solomon_100\RC121,171,715,714,5242.630000000002,5464.099999999999,293.433,
solomon_100\RC121,181,773,772,5492.504500000001,5617.799999999999,181.596,
solomon_100\RC121,191,813,812,5766.257972222221,5928.000000000001,212.213,
solomon_100\RC121,201,890,889,6064.128125000002,6268.0,322.248,
solomon_100\RC161,201,860,859,12374.474999999999,111.675,
solomon_100\RC161,251,1096,1095,14890.024999999996,225.632,
solomon_100\RC161,301,1302,1301,17703.31000000001,393.679,
solomon_100\RC161,351,1555,1554,20648.600000000002,782.411,
solomon_100\RC161,401,1549,1548,23494.316516025643,900.353,
solomon_100\RC161,451,1337,1336,26516.486235712855,900.067,
solomon_100\RC161,501,1096,1095,30365.014063669096,900.698,
solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,
