solomon_100\C101,101,481,480,1176.0499999999997,30.419,
solomon_100\C101,51,225,224,503.4916666666667,4.719,
solomon_100\C101,61,281,280,652.9583333333334,7.592,
solomon_100\C101,71,326,325,807.5749999999998,11.216,
solomon_100\C101,81,387,386,909.5499999999998,16.639,
solomon_100\C101,91,432,431,1030.55,23.17,
solomon_100\C121,111,602,601,2288.640000000001,44.114,
solomon_100\C121,121,672,671,2474.5166666666664,58.039,
solomon_100\C121,131,699,698,2685.5249999999987,70.721,
solomon_100\C121,141,766,765,2868.491666666667,88.662,
solomon_100\C121,151,816,815,3058.150000000001,109.643,
solomon_100\R101,101,552,551,1214.3075000000001,33.107,
solomon_100\R101,51,242,241,710.1333333333336,4.888,
solomon_100\R101,61,313,312,798.4594594594595,8.172,
solomon_100\R101,71,367,366,954.2000000000002,12.174,
solomon_100\R101,81,436,435,1047.0705555555555,17.982,
solomon_100\R101,91,492,491,1144.9428260869565,24.908,
solomon_100\R121,111,640,639,2623.57,45.485,
solomon_100\R121,121,745,744,2805.7460227272722,61.0,
solomon_100\R121,131,768,767,3021.9433174603178,72.796,
solomon_100\R121,141,858,857,3197.5606593406583,93.954,
solomon_100\R121,151,952,951,3381.6125000000015,118.704,
solomon_100\R500.txt,1,0,0.0,0.08,
solomon_100\R500.txt,1,0,0.0,0.047,
solomon_100\R500.txt,1,0,0.0,0.028,
solomon_100\R500.txt,1,0,0.0,0.103,
solomon_100\RC101,101,560,559,1452.866666666666,32.922,
solomon_100\RC101,51,219,218,792.2,4.648,
solomon_100\RC101,61,284,283,968.2166666666666,7.541,
solomon_100\RC101,71,355,354,1090.28,11.606,
solomon_100\RC101,81,446,445,1259.2333333333333,17.894,
solomon_100\RC101,91,481,480,1374.6941287878788,24.124,
solomon_100\RC121,111,641,640,2540.2249999999995,45.458,
solomon_100\RC121,121,708,707,2810.6275252525256,58.374,
solomon_100\RC121,131,753,752,3043.6600000000008,73.469,
solomon_100\RC121,141,849,848,3187.656111111111,95.14,
solomon_100\RC121,151,878,877,3399.648311403508,112.453,
solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C101,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\C121,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R101,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\R121,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC101,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,solomon_100\RC121,
