solomon_100\C101.txt,342,341,1643.4437499999992,4.944,
solomon_100\C101.txt,162,161,694.3062500000001,1.387,
solomon_100\C101.txt,196,195,902.4562500000002,1.491,
solomon_100\C101.txt,235,234,1088.3062499999999,2.072,
solomon_100\C101.txt,273,272,1266.5687500000004,3.102,
solomon_100\C101.txt,309,308,1437.8187500000001,3.888,
solomon_100\R101.txt,410,409,1612.5833333333335,6.079,
solomon_100\R101.txt,172,171,916.8125,0.99,
solomon_100\R101.txt,210,209,1029.79,1.617,
solomon_100\R101.txt,270,269,1235.6399999999999,2.419,
solomon_100\R101.txt,319,318,1375.3433333333335,3.425,
solomon_100\R101.txt,347,346,1510.589583333333,4.459,
solomon_100\RC101.txt,367,366,1994.1277777777777,5.377,
solomon_100\RC101.txt,158,157,1124.15,0.914,
solomon_100\RC101.txt,215,214,1349.7208333333335,1.532,
solomon_100\RC101.txt,262,261,1488.2700000000002,2.287,
solomon_100\RC101.txt,288,287,1717.4375000000005,3.037,
solomon_100\RC101.txt,332,331,1871.5249999999996,4.257,
